month(days),mean_like,sd_like,mean_retweet,sd_retweet,mean_tweet,sd_tweet
01-2019 (>15),42320.307692307695,40652.996985430684,0.07692307692307693,0.2773500981126146,1.7692307692307692,1.0919284281983377
01-2019 (<=15),63995.11111111111,31502.280732688407,0.0,0.0,2.0,1.3228756555322954
12-2018 (>15),60853.46153846154,37900.56214977861,0.0,0.0,2.1538461538461537,1.5191090506255
12-2018 (<=15),58835.846153846156,39805.055597763276,0.0,0.0,2.0,1.35400640077266
11-2018 (>15),34962.4,20060.457706088804,0.0,0.0,1.6,0.9660917830792959
11-2018 (<=15),40288.666666666664,27049.329090430765,0.0,0.0,1.4166666666666667,0.6685579234215214
10-2018 (>15),57975.92857142857,32624.357817350297,0.0,0.0,1.8571428571428572,0.9492622930986468
10-2018 (<=15),47677.0,23201.901520819756,0.0,0.0,1.8333333333333333,0.7177405625652734
09-2018 (>15),44009.78571428572,25910.766242206,0.0,0.0,1.8571428571428572,0.8644378215075665
09-2018 (<=15),49748.230769230766,17728.936817877933,0.0,0.0,2.3076923076923075,1.0315534712764842
08-2018 (>15),69249.375,28368.641692016205,0.125,0.3415650255319866,2.75,1.61245154965971
08-2018 (<=15),35969.933333333334,20178.92568804914,0.0,0.0,1.8,1.2649110640673518
07-2018 (>15),32352.833333333332,18689.280928009528,0.3333333333333333,0.49236596391733095,1.6666666666666667,0.8876253645985945
07-2018 (<=15),85218.57142857143,77816.49345312765,0.07142857142857142,0.2672612419124244,2.857142857142857,2.14322341192107
06-2018 (>15),40571.8,28183.64756694523,0.0,0.0,2.0,1.0540925533894598
06-2018 (<=15),48144.5,22987.1305050705,0.0,0.0,1.25,0.7071067811865476
05-2018 (>15),58768.666666666664,49531.47764553366,0.0,0.0,2.2222222222222223,1.7159383568311666
05-2018 (<=15),48977.25,13527.196565314878,0.0,0.0,1.0,0.0
04-2018 (>15),54115.166666666664,41018.48532267698,0.0,0.0,7.666666666666667,12.484657250668384
04-2018 (<=15),38306.416666666664,17516.295418102607,0.0,0.0,1.5,0.7977240352174656
03-2018 (>15),46564.454545454544,43051.79492509839,0.0,0.0,1.4545454545454546,0.8201995322647243
03-2018 (<=15),28223.75,19135.80794329984,0.0,0.0,1.5,0.7559289460184544
02-2018 (>15),41795.444444444445,22919.245025257216,0.0,0.0,1.5555555555555556,0.881917103688197
02-2018 (<=15),48175.27272727273,38948.83700726097,0.09090909090909091,0.3015113445777636,1.4545454545454546,0.8201995322647243
01-2018 (>15),50027.6,23400.66364775913,0.0,0.0,2.1,0.5676462121975466
01-2018 (<=15),38796.454545454544,26397.370556036964,0.36363636363636365,0.504524979109513,1.9090909090909092,1.0444659357341868
12-2017 (>15),33717.333333333336,19565.133911366338,1.5833333333333333,4.077841080619484,1.4166666666666667,0.792961461098759
12-2017 (<=15),60590.333333333336,47238.97855937756,0.08333333333333333,0.28867513459481287,2.0,1.1281521496355325
11-2017 (>15),28498.727272727272,23903.199635575605,0.0,0.0,1.3636363636363635,0.674199862463242
11-2017 (<=15),53939.545454545456,35463.873401994984,0.2727272727272727,0.6466697906828633,1.9090909090909092,1.2210278829367864
10-2017 (>15),40392.78571428572,26946.473641643355,0.0,0.0,2.2142857142857144,1.2513728724621074
10-2017 (<=15),29711.083333333332,22643.628441405417,0.16666666666666666,0.38924947208076144,1.75,0.9653072991634227
09-2017 (>15),42580.75,42890.93307898959,0.0,0.0,2.3333333333333335,1.8257418583505538
09-2017 (<=15),42583.53846153846,23132.858216598113,0.07692307692307693,0.2773500981126146,2.4615384615384617,1.5063966175050876
08-2017 (>15),34395.25,26613.723719249538,0.0,0.0,2.0833333333333335,1.3113721705515065
08-2017 (<=15),27379.0,12143.814529765075,0.0,0.0,1.25,0.5
07-2017 (>15),42166.25,44361.49690917482,0.08333333333333333,0.28867513459481287,2.5,2.3159525823376357
07-2017 (<=15),28553.545454545456,23139.961864115667,0.09090909090909091,0.30151134457776363,1.0909090909090908,0.30151134457776363
06-2017 (>15),33916.125,24140.96086641067,0.0,0.0,1.625,1.407885953173359
06-2017 (<=15),19205.666666666668,18266.9510719952,0.3333333333333333,0.5163977794943223,1.0,0.6324555320336759
05-2017 (>15),42920.833333333336,38693.419804296376,0.3333333333333333,0.6513389472789296,5.666666666666667,6.414944672521748
05-2017 (<=15),20718.3,12205.915861217098,0.1,0.31622776601683794,1.1,0.31622776601683794
04-2017 (>15),34551.0,25890.355813581362,0.35714285714285715,0.633323693776651,7.5,9.685437125276913
04-2017 (<=15),42962.333333333336,19531.24379195053,0.25,0.45226701686664544,4.583333333333333,3.36987545853858
03-2017 (>15),17827.125,17691.251966014162,0.25,0.4629100498862757,1.0,0.5345224838248488
03-2017 (<=15),16467.625,16267.35395936554,0.25,0.4629100498862757,1.375,0.5175491695067657
02-2017 (>15),9881.857142857143,6913.523617485066,0.2857142857142857,0.7559289460184545,1.1428571428571428,0.8997354108424372
02-2017 (<=15),17357.30769230769,14000.259684404758,0.15384615384615385,0.3755338080994054,1.2307692307692308,0.7250110520819842
01-2017 (>15),33684.666666666664,32416.887152634918,0.0,0.0,2.5,1.9748417658131499
01-2017 (<=15),14492.866666666667,13973.828327405825,0.2,0.41403933560541256,1.5333333333333334,0.9154754164341269
12-2016 (>15),15099.7,8930.864970551409,0.5,0.97182531580755,1.5,0.7071067811865476
12-2016 (<=15),17862.125,12671.63542762789,0.25,0.4629100498862757,1.375,0.5175491695067657
11-2016 (>15),17948.1,15386.92433673619,0.7,1.3374935098492586,2.5,2.41522945769824
11-2016 (<=15),17408.363636363636,15619.790781394784,0.5454545454545454,0.6875516509523286,2.272727272727273,3.003028774118193
10-2016 (>15),16725.583333333332,12211.91965743703,0.16666666666666666,0.38924947208076144,1.5833333333333333,0.90033663737852
10-2016 (<=15),14816.538461538461,11301.94658466249,0.38461538461538464,0.6504436355879909,1.7692307692307692,1.2351684199496948
09-2016 (>15),12604.222222222223,8001.0751274090935,0.1111111111111111,0.3333333333333333,2.2222222222222223,1.3944333775567928
09-2016 (<=15),12751.384615384615,13384.480400439294,0.15384615384615385,0.5547001962252291,1.6923076923076923,1.2506408613597126
08-2016 (>15),20509.428571428572,20555.126086151417,2.2142857142857144,8.285098499285155,3.142857142857143,3.4386299341708497
08-2016 (<=15),17246.083333333332,10113.987024802771,0.5833333333333334,1.2401124093721456,3.1666666666666665,1.5859229221975182
07-2016 (>15),7583.3,4137.014518009602,0.0,0.0,1.4,0.6992058987801011
07-2016 (<=15),10629.363636363636,5851.650438512665,0.09090909090909091,0.3015113445777636,1.9090909090909092,0.8312094145936334
06-2016 (>15),9209.1,7180.65335080621,0.0,0.0,1.9,1.1972189997378648
06-2016 (<=15),12091.333333333334,9519.527377974182,0.1111111111111111,0.3333333333333333,1.3333333333333333,0.7071067811865476
05-2016 (>15),4410.0,2735.952941846771,0.0,0.0,1.2,0.4472135954999579
05-2016 (<=15),8219.4,6150.1315676983695,0.0,0.0,1.2,0.4472135954999579
04-2016 (>15),10679.25,5618.274258422878,0.0,0.0,3.0,4.869731585445518
04-2016 (<=15),22911.636363636364,14896.993799238335,0.0,0.0,6.7272727272727275,7.403930160271761
03-2016 (>15),15652.0,16643.06630401982,0.09090909090909091,0.3015113445777636,1.3636363636363635,0.6741998624632421
03-2016 (<=15),6267.5,3505.161265904894,0.0,0.0,1.1666666666666667,0.408248290463863
02-2016 (>15),5241.181818181818,2624.3481407077766,0.0,0.0,1.1818181818181819,0.40451991747794525
02-2016 (<=15),4556.636363636364,2713.061675403907,0.0,0.0,1.7272727272727273,1.1037127426019047
01-2016 (>15),5036.7,2916.6120013924833,0.0,0.0,1.3,0.4830458915396479
